5.21	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1554622	125070	101870	173078	287	757	2412	0.08	0.01	0.22	0.01	0.70	0.02
5.07	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1555564	125074	96691	181002	267	441	2824	0.08	0.00	0.12	0.01	0.80	0.02
5.21	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1551645	125120	96022	182099	252	465	2749	0.07	0.00	0.13	0.01	0.79	0.02
4.93	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1557314	128208	94946	188184	234	298	2913	0.07	0.00	0.09	0.01	0.85	0.02
5.07	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1545330	123995	92451	184132	201	283	2870	0.06	0.00	0.08	0.01	0.86	0.02
5.21	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1556102	123076	91768	183449	186	272	2873	0.06	0.00	0.08	0.01	0.86	0.02
4.93	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1553994	123667	92728	181914	183	296	2848	0.06	0.00	0.09	0.01	0.86	0.02
5.07	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1549504	124429	92782	182759	180	315	2760	0.06	0.00	0.10	0.01	0.85	0.02
4.78	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1537179	125856	93837	182148	215	283	2700	0.07	0.00	0.09	0.01	0.84	0.02
5.21	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1539133	124637	93303	181085	188	308	2758	0.06	0.00	0.09	0.01	0.85	0.02
4.78	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1543395	124354	96990	177971	191	484	2676	0.06	0.00	0.14	0.01	0.80	0.02
4.63	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1536454	123225	95822	176385	214	438	2502	0.07	0.00	0.14	0.01	0.79	0.02
5.21	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1540033	123412	98864	176710	181	590	2560	0.05	0.00	0.18	0.01	0.77	0.02
4.93	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1539744	123968	98186	177736	179	524	2545	0.06	0.00	0.16	0.01	0.78	0.02
5.07	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1554257	122761	98292	177855	181	592	2610	0.05	0.00	0.17	0.01	0.77	0.02
4.63	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1555499	123561	105857	172061	200	901	2436	0.06	0.00	0.25	0.01	0.69	0.02
