0.304670	0.452574	0.242756	0.307692	0.453341	0.238967	0.310329	0.453094	0.236577	0.313558	0.453888	0.232554	0.316110	0.452827	0.231063	0.320162	0.452309	0.227529	0.322666	0.451982	0.225352	0.326119	0.450628	0.223253	0.328966	0.450165	0.220869	0.332602	0.449260	0.218138	0.335115	0.448058	0.216827	0.338233	0.446635	0.215132	0.340525	0.445626	0.213849	0.342277	0.446007	0.211716	0.344453	0.444672	0.210875	0.345376	0.444409	0.210215	0.347225	0.443925	0.208850	0.346749	0.444549	0.208702	0.347510	0.443853	0.208637	0.348783	0.443524	0.207693
0.301432	0.490314	0.208254	0.302516	0.490196	0.207288	0.304828	0.489924	0.205248	0.306745	0.489723	0.203532	0.308249	0.489621	0.202130	0.311451	0.488405	0.200144	0.313693	0.487977	0.198330	0.315782	0.487533	0.196685	0.319752	0.485727	0.194521	0.321325	0.484219	0.194456	0.324792	0.483099	0.192109	0.325925	0.482471	0.191604	0.328083	0.481798	0.190119	0.329718	0.481271	0.189011	0.331810	0.479673	0.188517	0.332996	0.478904	0.188100	0.333015	0.479203	0.187782	0.334245	0.478840	0.186915	0.333798	0.479447	0.186755	0.333813	0.479412	0.186775
0.294620	0.529687	0.175693	0.294193	0.530111	0.175696	0.296152	0.529889	0.173959	0.296546	0.529101	0.174353	0.299126	0.528473	0.172401	0.300498	0.527054	0.172448	0.302207	0.526499	0.171294	0.304697	0.525566	0.169737	0.306134	0.523659	0.170207	0.308147	0.523509	0.168344	0.309935	0.522165	0.167900	0.312073	0.520337	0.167590	0.313752	0.518654	0.167594	0.314970	0.518771	0.166259	0.316984	0.517084	0.165932	0.317931	0.516865	0.165204	0.318328	0.515433	0.166239	0.318618	0.516469	0.164913	0.318995	0.515466	0.165539	0.318732	0.516495	0.164773
0.285826	0.570301	0.143873	0.285516	0.570484	0.144000	0.285374	0.570832	0.143794	0.285531	0.570627	0.143842	0.286961	0.569448	0.143591	0.286908	0.569353	0.143739	0.288159	0.567557	0.144284	0.290439	0.566145	0.143416	0.291029	0.565693	0.143278	0.292930	0.563510	0.143560	0.292634	0.563267	0.144099	0.295237	0.561177	0.143586	0.296319	0.559986	0.143695	0.297033	0.559483	0.143484	0.298017	0.558543	0.143440	0.299598	0.556796	0.143606	0.299787	0.556937	0.143276	0.299725	0.557204	0.143071	0.300481	0.556382	0.143137	0.300506	0.556373	0.143121
0.275887	0.611473	0.112640	0.273851	0.612716	0.113433	0.272616	0.612463	0.114921	0.273407	0.610916	0.115677	0.272152	0.611684	0.116164	0.272181	0.610605	0.117214	0.272742	0.609781	0.117477	0.272473	0.609559	0.117968	0.274139	0.606394	0.119467	0.275090	0.605410	0.119500	0.275054	0.605260	0.119686	0.275716	0.603643	0.120641	0.277575	0.601825	0.120600	0.277616	0.601268	0.121116	0.278134	0.600937	0.120929	0.278032	0.600091	0.121877	0.279204	0.599375	0.121421	0.280543	0.598444	0.121013	0.279162	0.599814	0.121024	0.278497	0.599862	0.121641
0.263154	0.652242	0.084604	0.261086	0.652828	0.086086	0.257970	0.654596	0.087434	0.257735	0.653466	0.088799	0.256036	0.653301	0.090663	0.255634	0.652369	0.091997	0.255166	0.651568	0.093266	0.254498	0.650382	0.095120	0.254903	0.649110	0.095987	0.255278	0.648342	0.096380	0.254537	0.648079	0.097384	0.255294	0.646400	0.098306	0.256849	0.644621	0.098530	0.256487	0.644028	0.099485	0.256426	0.643665	0.099909	0.256669	0.642971	0.100360	0.257694	0.641416	0.100890	0.256721	0.642509	0.100770	0.257721	0.641167	0.101112	0.257500	0.641847	0.100653
0.248892	0.692418	0.058690	0.245806	0.693571	0.060623	0.242740	0.694951	0.062309	0.239912	0.694859	0.065229	0.237858	0.695408	0.066734	0.236441	0.694958	0.068601	0.235697	0.693946	0.070357	0.234827	0.693578	0.071595	0.233418	0.692949	0.073633	0.233786	0.691217	0.074997	0.233294	0.690685	0.076021	0.232831	0.690076	0.077093	0.232985	0.688266	0.078749	0.233114	0.687265	0.079621	0.233150	0.687152	0.079698	0.232889	0.686086	0.081025	0.233334	0.686001	0.080665	0.233678	0.685482	0.080840	0.233313	0.685399	0.081288	0.232958	0.685093	0.081949
0.234015	0.728073	0.037912	0.229725	0.730214	0.040061	0.225353	0.731785	0.042862	0.222277	0.733202	0.044521	0.219586	0.733337	0.047077	0.217915	0.733374	0.048711	0.216395	0.732506	0.051099	0.214403	0.732988	0.052609	0.213784	0.731822	0.054394	0.212025	0.731952	0.056023	0.211822	0.729675	0.058503	0.210876	0.729481	0.059643	0.210721	0.728356	0.060923	0.210062	0.727609	0.062329	0.210310	0.726768	0.062922	0.209643	0.726807	0.063550	0.209160	0.726460	0.064380	0.209218	0.726853	0.063929	0.209450	0.725840	0.064710	0.209996	0.725422	0.064582
0.217149	0.761921	0.020930	0.212012	0.764635	0.023353	0.207677	0.767122	0.025201	0.204027	0.768452	0.027521	0.200786	0.769126	0.030088	0.198536	0.769530	0.031934	0.195484	0.770014	0.034502	0.193760	0.769799	0.036441	0.191270	0.769940	0.038790	0.190085	0.768950	0.040965	0.189704	0.768110	0.042186	0.188472	0.767346	0.044182	0.186897	0.767797	0.045306	0.187046	0.766115	0.046839	0.186034	0.766296	0.047670	0.185505	0.765841	0.048654	0.185243	0.765784	0.048973	0.185562	0.764909	0.049529	0.185728	0.764601	0.049671	0.184903	0.765572	0.049525
0.200159	0.790964	0.008877	0.194144	0.795014	0.010842	0.189561	0.797603	0.012836	0.184815	0.799823	0.015362	0.181192	0.801744	0.017064	0.177224	0.803232	0.019544	0.175160	0.802791	0.022049	0.172436	0.804092	0.023472	0.169388	0.804439	0.026173	0.168221	0.803801	0.027978	0.167131	0.802790	0.030079	0.164932	0.803653	0.031415	0.163067	0.803976	0.032957	0.163150	0.802654	0.034196	0.162190	0.802320	0.035490	0.162044	0.801771	0.036185	0.161540	0.801716	0.036744	0.161090	0.801877	0.037033	0.161056	0.802127	0.036817	0.161275	0.801525	0.037200
