0.199719	0.318423	0.481858	0.316294	0.374836	0.308870	0.455334	0.379698	0.164968	0.593776	0.327904	0.078320	0.708332	0.237102	0.054566	0.778628	0.134012	0.087360	0.789477	0.054063	0.156460	0.743363	0.025497	0.231140	0.651657	0.056561	0.291782	0.540388	0.142274	0.317338	0.444111	0.253953	0.301936	0.392868	0.347811	0.259321	0.400920	0.396134	0.202946	0.468401	0.374390	0.157209	0.574795	0.292703	0.132502	0.696068	0.172020	0.131912	0.789840	0.064330	0.145830	0.831479	0.010630	0.157891	0.809653	0.035373	0.154974	0.721871	0.150707	0.127422
0.285168	0.360040	0.354792	0.417607	0.379687	0.202706	0.558549	0.344722	0.096729	0.682946	0.264457	0.052597	0.769381	0.163535	0.067084	0.800568	0.074611	0.124821	0.771068	0.027842	0.201090	0.694329	0.039926	0.265745	0.587373	0.109610	0.303017	0.480930	0.216649	0.302421	0.406376	0.325661	0.267963	0.390093	0.391582	0.218325	0.434039	0.396172	0.169789	0.528244	0.332273	0.139483	0.643622	0.222323	0.134055	0.752236	0.101148	0.146616	0.814444	0.022459	0.163097	0.817217	0.016660	0.166123	0.754002	0.097863	0.148135	0.631768	0.261655	0.106577
0.383762	0.375303	0.240935	0.520730	0.356805	0.122465	0.654248	0.288025	0.057727	0.754470	0.192225	0.053305	0.804841	0.097340	0.097819	0.795564	0.036134	0.168302	0.730618	0.030509	0.238873	0.632600	0.083195	0.284205	0.521404	0.180141	0.298455	0.430747	0.293517	0.275736	0.389532	0.380494	0.229974	0.409384	0.408107	0.182509	0.486706	0.366207	0.147087	0.596206	0.267446	0.136348	0.706557	0.147599	0.145844	0.790088	0.045142	0.164770	0.814729	0.010470	0.174801	0.774600	0.060275	0.165125	0.675924	0.194023	0.130053	0.530337	0.391950	0.077713
0.492080	0.361320	0.146600	0.626303	0.305733	0.067964	0.736437	0.216891	0.046672	0.804001	0.119905	0.076094	0.813207	0.047903	0.138890	0.763422	0.025686	0.210892	0.669501	0.064440	0.266059	0.562323	0.149458	0.288219	0.460826	0.261592	0.277582	0.398333	0.362631	0.239036	0.395850	0.412769	0.191381	0.450438	0.393778	0.155784	0.550753	0.310605	0.138642	0.665263	0.189352	0.145385	0.758301	0.077385	0.164314	0.805211	0.013990	0.180799	0.785320	0.036095	0.178585	0.706018	0.142618	0.151364	0.577408	0.320214	0.102378	0.421583	0.530193	0.048224
0.601049	0.319040	0.079911	0.717682	0.238117	0.044201	0.797891	0.141517	0.060592	0.823847	0.061750	0.114403	0.790500	0.025327	0.184173	0.707949	0.047903	0.244148	0.597910	0.125107	0.276983	0.491966	0.231960	0.276074	0.414208	0.338580	0.247212	0.389095	0.407688	0.203217	0.424771	0.412514	0.162715	0.507246	0.350155	0.142599	0.620521	0.234614	0.144865	0.724168	0.111396	0.164436	0.786929	0.028203	0.184868	0.790337	0.019894	0.189769	0.727102	0.103128	0.169770	0.615063	0.259298	0.125639	0.466299	0.463115	0.070586	0.314617	0.660223	0.025160
0.700073	0.254448	0.045479	0.788610	0.162299	0.049091	0.829488	0.076993	0.093519	0.812698	0.028832	0.158470	0.742109	0.036213	0.221678	0.636979	0.100774	0.262247	0.523942	0.205541	0.270517	0.436087	0.313940	0.249973	0.390571	0.398130	0.211299	0.404563	0.424633	0.170804	0.475481	0.378445	0.146074	0.576042	0.278741	0.145217	0.686061	0.152053	0.161886	0.764411	0.049256	0.186333	0.787742	0.012876	0.199382	0.744501	0.067863	0.187636	0.643024	0.208994	0.147982	0.508141	0.399198	0.092661	0.358200	0.601489	0.040311	0.218204	0.764015	0.017781
0.780587	0.176927	0.042486	0.831750	0.091474	0.076776	0.827686	0.034450	0.137864	0.770395	0.029238	0.200367	0.672012	0.081724	0.246264	0.556884	0.179698	0.263418	0.456060	0.294773	0.249167	0.397246	0.386376	0.216378	0.392322	0.429546	0.178132	0.445015	0.404701	0.150284	0.541127	0.313624	0.145249	0.646988	0.192252	0.160760	0.737405	0.076266	0.186329	0.777452	0.015785	0.206763	0.754959	0.041520	0.203521	0.669684	0.161476	0.168840	0.538259	0.347901	0.113840	0.394353	0.548016	0.057631	0.253093	0.724539	0.022368	0.138377	0.825877	0.035746
0.831198	0.105500	0.063302	0.840957	0.042311	0.116732	0.794993	0.025450	0.179557	0.705280	0.064385	0.230335	0.591272	0.153658	0.255070	0.484664	0.266951	0.248385	0.408563	0.371107	0.220330	0.386757	0.429862	0.183381	0.419762	0.425570	0.154668	0.502703	0.351565	0.145732	0.610450	0.231345	0.158205	0.703507	0.111545	0.184948	0.762742	0.027713	0.209545	0.760775	0.024561	0.214664	0.695997	0.113489	0.190514	0.574839	0.286758	0.138403	0.430086	0.493003	0.076911	0.289018	0.678757	0.032225	0.167375	0.806235	0.026390	0.082684	0.833432	0.083884
0.848092	0.049603	0.102305	0.814798	0.023887	0.161315	0.733061	0.053063	0.213876	0.623636	0.132462	0.243902	0.511861	0.241994	0.246145	0.425774	0.353272	0.220954	0.386557	0.426514	0.186929	0.403898	0.438351	0.157751	0.471750	0.383363	0.144887	0.572224	0.272181	0.155595	0.674173	0.142306	0.183521	0.742188	0.046360	0.211452	0.758732	0.017097	0.224171	0.710525	0.081511	0.207964	0.607865	0.228871	0.163264	0.464074	0.436737	0.099189	0.317631	0.637708	0.044661	0.191681	0.783564	0.024755	0.098344	0.840926	0.060730	0.045596	0.787094	0.167310
0.828968	0.024236	0.146796	0.758197	0.043395	0.198408	0.652798	0.115040	0.232162	0.538555	0.221637	0.239808	0.443074	0.334997	0.221929	0.390015	0.420144	0.189841	0.392716	0.447204	0.160080	0.446818	0.407253	0.145929	0.537606	0.308747	0.153647	0.639887	0.179308	0.180805	0.721444	0.066155	0.212401	0.751076	0.017258	0.231666	0.720277	0.055572	0.224151	0.629723	0.185768	0.184509	0.498844	0.377222	0.123934	0.348441	0.590492	0.061067	0.214225	0.758258	0.027517	0.114619	0.838337	0.047044	0.052725	0.814842	0.132433	0.028227	0.687161	0.284612
